15 juin 2020	4716,98	4841,53	4691,81	4815,72	4815,72	111889900
12 juin 2020	4774,11	4940,79	4759,17	4839,26	4839,26	133164300
11 juin 2020	4925,95	4956,30	4815,60	4815,60	4815,60	161274600
10 juin 2020	5119,86	5152,45	5043,57	5053,42	5053,42	121335100
09 juin 2020	5187,09	5203,42	5053,21	5095,11	5095,11	160534800
08 juin 2020	5159,30	5213,67	5137,20	5175,52	5175,52	152914400
05 juin 2020	5060,92	5199,65	5060,92	5197,79	5197,79	186841500
04 juin 2020	4994,18	5052,75	4966,82	5011,98	5011,98	138794600
03 juin 2020	4911,45	5026,45	4909,99	5022,38	5022,38	160112800
02 juin 2020	4799,88	4880,15	4795,28	4858,97	4858,97	126839400
01 juin 2020	4776,72	4782,03	4721,63	4762,78	4762,78	75978000
29 mai 2020	4733,98	4768,85	4695,36	4695,44	4695,44	167179700
28 mai 2020	4718,11	4784,09	4701,52	4771,39	4771,39	127442900
27 mai 2020	4621,77	4711,99	4614,41	4688,74	4688,74	177960100
26 mai 2020	4588,30	4619,84	4573,89	4606,24	4606,24	140172500
25 mai 2020	4482,54	4539,91	4451,56	4539,91	4539,91	65971900
22 mai 2020	4381,82	4475,35	4368,80	4444,56	4444,56	99188200
21 mai 2020	4443,92	4498,08	4429,27	4445,45	4445,45	88243500
20 mai 2020	4434,62	4499,79	4396,20	4496,98	4496,98	107244100
19 mai 2020	4536,07	4536,07	4421,11	4458,16	4458,16	138767200
18 mai 2020	4361,03	4508,95	4354,73	4498,34	4498,34	119506400
15 mai 2020	4314,97	4335,77	4255,19	4277,63	4277,63	111236400
14 mai 2020	4294,01	4313,26	4194,58	4273,13	4273,13	127632000
13 mai 2020	4420,50	4422,74	4336,56	4344,95	4344,95	103285300
12 mai 2020	4473,43	4499,39	4453,65	4472,50	4472,50	99269700
11 mai 2020	4561,19	4569,76	4460,24	4490,22	4490,22	83493200
08 mai 2020	4538,09	4560,19	4519,59	4549,64	4549,64	49408600
07 mai 2020	4456,44	4503,94	4440,98	4501,44	4501,44	78225400
06 mai 2020	4484,16	4484,16	4425,78	4433,38	4433,38	83242500
05 mai 2020	4455,74	4492,52	4419,95	4483,13	4483,13	93373300
04 mai 2020	4413,14	4427,74	4362,13	4378,23	4378,23	124810600
30 avr. 2020	4693,28	4719,74	4554,91	4572,18	4572,18	141611100
29 avr. 2020	4566,29	4678,93	4552,81	4671,11	4671,11	111685100
28 avr. 2020	4507,42	4601,94	4493,51	4569,79	4569,79	104388900
27 avr. 2020	4479,86	4505,26	4448,05	4505,26	4505,26	75900400
24 avr. 2020	4387,03	4448,73	4366,09	4393,32	4393,32	81295300
23 avr. 2020	4450,19	4495,90	4395,75	4451,00	4451,00	90083500
22 avr. 2020	4382,20	4417,57	4361,44	4411,80	4411,80	84195800
21 avr. 2020	4467,49	4477,31	4357,46	4357,46	4357,46	98896700
20 avr. 2020	4531,34	4531,34	4426,24	4528,30	4528,30	79833400
17 avr. 2020	4470,92	4550,78	4464,09	4499,01	4499,01	134393000
16 avr. 2020	4402,38	4418,65	4318,90	4350,16	4350,16	107745200
15 avr. 2020	4511,87	4525,50	4335,59	4353,72	4353,72	119358000
14 avr. 2020	4553,55	4577,84	4497,56	4523,91	4523,91	104764600
09 avr. 2020	4512,30	4543,69	4409,04	4506,85	4506,85	126589000
08 avr. 2020	4397,36	4442,75	4333,09	4442,75	4442,75	96256500
07 avr. 2020	4489,40	4527,60	4379,27	4438,27	4438,27	146543100
06 avr. 2020	4298,50	4353,21	4268,52	4346,14	4346,14	141469800
03 avr. 2020	4204,81	4214,59	4142,28	4154,58	4154,58	124037700
02 avr. 2020	4243,84	4265,56	4143,16	4220,96	4220,96	135203200
01 avr. 2020	4259,94	4266,69	4186,45	4207,24	4207,24	141856100
31 mars 2020	4437,78	4468,52	4309,72	4396,12	4396,12	151397700
30 mars 2020	4362,09	4379,15	4216,41	4378,51	4378,51	119404100
27 mars 2020	4433,95	4471,37	4288,66	4351,49	4351,49	144021100
26 mars 2020	4332,79	4543,58	4296,06	4543,58	4543,58	150657300
25 mars 2020	4339,71	4453,01	4221,32	4432,30	4432,30	176942500
24 mars 2020	4087,61	4242,70	4038,06	4242,70	4242,70	185439800
23 mars 2020	3869,01	4097,82	3851,17	3914,31	3914,31	195845200
20 mars 2020	4066,79	4109,11	3984,30	4048,80	4048,80	271872900
19 mars 2020	3833,99	3909,15	3691,08	3855,50	3855,50	199534100
18 mars 2020	3905,53	3908,72	3726,45	3754,84	3754,84	214274700
17 mars 2020	4041,33	4042,46	3759,00	3991,78	3991,78	225787000
16 mars 2020	3886,82	3962,01	3632,06	3881,46	3881,46	311603900
13 mars 2020	4234,37	4438,51	4055,19	4118,36	4118,36	326461800
12 mars 2020	4374,67	4404,26	4025,89	4044,26	4044,26	371403200
11 mars 2020	4716,22	4766,00	4603,05	4610,25	4610,25	206895800
10 mars 2020	4770,62	4924,84	4615,16	4636,61	4636,61	280309600
09 mars 2020	4845,27	4863,34	4691,20	4707,91	4707,91	329160800
06 mars 2020	5253,82	5284,08	5117,57	5139,11	5139,11	198425500
05 mars 2020	5490,52	5494,16	5329,24	5361,10	5361,10	155475900
04 mars 2020	5400,43	5493,25	5357,35	5464,89	5464,89	152463500
03 mars 2020	5408,15	5509,28	5371,66	5393,17	5393,17	186265500
02 mars 2020	5416,02	5430,05	5197,57	5333,52	5333,52	201844000
28 févr. 2020	5310,82	5376,05	5229,56	5309,90	5309,90	268468000
27 févr. 2020	5571,72	5613,72	5421,31	5495,60	5495,60	216328100
26 févr. 2020	5646,14	5707,31	5526,14	5684,55	5684,55	161976300
25 févr. 2020	5825,37	5828,46	5670,71	5679,68	5679,68	143623800
24 févr. 2020	5875,86	5884,86	5765,17	5791,87	5791,87	175269600
21 févr. 2020	6035,03	6067,29	5995,14	6029,72	6029,72	97327600
20 févr. 2020	6105,17	6110,95	6062,30	6062,30	6062,30	91055800
19 févr. 2020	6086,11	6111,41	6072,66	6111,24	6111,24	80156900
18 févr. 2020	6042,38	6079,50	6039,94	6056,82	6056,82	89930300
17 févr. 2020	6079,53	6088,60	6064,92	6085,95	6085,95	58001900
14 févr. 2020	6096,07	6096,07	6067,14	6069,35	6069,35	77985500
13 févr. 2020	6076,92	6098,26	6028,28	6093,14	6093,14	92665700
12 févr. 2020	6064,25	6104,73	6062,97	6104,73	6104,73	92681200
11 févr. 2020	6047,96	6060,97	6032,79	6054,76	6054,76	81568400
10 févr. 2020	6008,48	6018,31	5993,91	6015,67	6015,67	65703100
07 févr. 2020	6027,54	6044,97	5999,95	6029,75	6029,75	82348500
06 févr. 2020	6045,04	6050,94	6008,55	6038,18	6038,18	106153100
05 févr. 2020	5919,06	6004,33	5912,49	5985,40	5985,40	107839000
04 févr. 2020	5863,36	5935,05	5862,82	5935,05	5935,05	85595000
03 févr. 2020	5822,04	5857,40	5804,14	5832,51	5832,51	75677800
31 janv. 2020	5891,71	5894,69	5799,04	5806,34	5806,34	101862600
30 janv. 2020	5886,02	5904,08	5846,45	5871,77	5871,77	89992200
29 janv. 2020	5921,97	5969,73	5916,23	5954,89	5954,89	74107000
28 janv. 2020	5886,81	5933,72	5857,23	5925,82	5925,82	84491600
27 janv. 2020	5924,06	5942,83	5851,00	5863,02	5863,02	104036300
24 janv. 2020	6019,60	6064,55	6016,77	6024,26	6024,26	82330600
23 janv. 2020	5992,47	6024,32	5961,87	5971,79	5971,79	90037200
22 janv. 2020	6053,85	6069,26	6005,77	6010,98	6010,98	69408800
21 janv. 2020	6034,24	6045,99	5994,17	6045,99	6045,99	63922800
20 janv. 2020	6092,97	6094,09	6071,17	6078,54	6078,54	41270000
17 janv. 2020	6066,29	6109,81	6066,29	6100,72	6100,72	79316600
16 janv. 2020	6039,62	6058,97	6021,03	6039,03	6039,03	76032900
15 janv. 2020	6042,72	6053,01	6011,28	6032,61	6032,61	79851500
14 janv. 2020	6037,45	6046,12	5980,05	6040,89	6040,89	75439500
13 janv. 2020	6040,91	6058,69	6018,33	6036,14	6036,14	65192400
10 janv. 2020	6056,74	6057,83	6028,29	6037,11	6037,11	64393300
09 janv. 2020	6066,75	6071,66	6034,15	6042,55	6042,55	67961100
08 janv. 2020	5986,81	6031,00	5972,77	6031,00	6031,00	71431600
07 janv. 2020	6033,22	6065,74	6000,00	6012,35	6012,35	69593800
06 janv. 2020	6001,21	6017,97	5955,25	6013,59	6013,59	69063700
03 janv. 2020	6007,96	6044,16	5994,59	6044,16	6044,16	60488000
02 janv. 2020	6016,61	6062,92	6011,21	6041,50	6041,50	63958300
31 déc. 2019	5970,59	5987,22	5958,25	5978,06	5978,06	20670000
30 déc. 2019	6028,96	6037,70	5982,22	5982,22	5982,22	40318700
27 déc. 2019	6039,95	6065,00	6027,72	6037,39	6037,39	47289800
25 déc. 2019	-	-	-	-	-	-
24 déc. 2019	6027,19	6033,99	6025,62	6029,55	6029,55	12440900
23 déc. 2019	6013,56	6035,95	6005,96	6029,37	6029,37	46603900
20 déc. 2019	5979,53	6024,17	5966,88	6021,53	6021,53	151362500
19 déc. 2019	5963,87	5972,28	5942,88	5972,28	5972,28	72322800
18 déc. 2019	5971,40	5983,02	5959,60	5959,60	5959,60	80799300
17 déc. 2019	5989,48	5989,48	5955,36	5968,26	5968,26	84477400
16 déc. 2019	5946,65	6003,38	5942,30	5991,66	5991,66	77242800
13 déc. 2019	5968,86	5972,17	5907,22	5919,02	5919,02	113199500
12 déc. 2019	5871,20	5915,65	5845,00	5884,26	5884,26	91513000
11 déc. 2019	5844,02	5865,88	5825,42	5860,88	5860,88	62940400
10 déc. 2019	5833,48	5851,11	5776,67	5848,03	5848,03	73070100
09 déc. 2019	5865,73	5870,79	5836,14	5837,25	5837,25	56245200
06 déc. 2019	5815,75	5871,91	5811,29	5871,91	5871,91	75933300
05 déc. 2019	5808,26	5849,78	5801,46	5801,55	5801,55	73424300
04 déc. 2019	5725,97	5812,71	5725,97	5799,68	5799,68	89688600
03 déc. 2019	5787,14	5800,93	5697,06	5727,22	5727,22	86293300
02 déc. 2019	5910,12	5947,68	5781,03	5786,74	5786,74	99392100
29 nov. 2019	5895,89	5929,79	5885,66	5905,17	5905,17	61639300
28 nov. 2019	5909,95	5919,13	5900,21	5912,72	5912,72	42729800
27 nov. 2019	5943,45	5947,30	5921,92	5926,84	5926,84	68032200
26 nov. 2019	5927,41	5941,51	5909,93	5929,62	5929,62	112044300
25 nov. 2019	5917,84	5933,75	5908,29	5924,86	5924,86	62132600
22 nov. 2019	5885,61	5930,46	5885,61	5893,13	5893,13	75146000
21 nov. 2019	5860,55	5895,57	5834,26	5881,21	5881,21	76235300
20 nov. 2019	5880,69	5902,95	5859,58	5894,03	5894,03	74180900
19 nov. 2019	5936,99	5966,79	5895,91	5909,05	5909,05	72290900
18 nov. 2019	5939,64	5942,47	5900,35	5929,79	5929,79	70805300
15 nov. 2019	5933,07	5947,62	5907,95	5939,27	5939,27	74070300
14 nov. 2019	5902,40	5916,90	5894,07	5901,08	5901,08	67172300
13 nov. 2019	5908,16	5917,57	5874,06	5907,09	5907,09	76988600
12 nov. 2019	5904,27	5931,19	5897,30	5919,75	5919,75	72093200
11 nov. 2019	5873,74	5906,33	5871,71	5893,82	5893,82	60606400
08 nov. 2019	5867,42	5889,70	5861,61	5889,70	5889,70	94387100
07 nov. 2019	5888,84	5894,87	5871,18	5890,99	5890,99	105688900
06 nov. 2019	5847,61	5876,27	5838,40	5866,74	5866,74	86948200
05 nov. 2019	5825,60	5850,01	5818,94	5846,89	5846,89	78408500
04 nov. 2019	5788,36	5833,69	5784,85	5824,30	5824,30	86434000
01 nov. 2019	5749,48	5778,29	5739,70	5761,89	5761,89	65867300
31 oct. 2019	5770,26	5778,24	5718,63	5729,86	5729,86	112062300
30 oct. 2019	5749,69	5765,87	5720,27	5765,87	5765,87	90959100
29 oct. 2019	5728,10	5742,08	5715,26	5740,14	5740,14	74571800
28 oct. 2019	5720,73	5747,10	5711,10	5730,57	5730,57	69809000
25 oct. 2019	5694,90	5722,64	5671,82	5722,15	5722,15	71714000
24 oct. 2019	5678,26	5691,50	5659,95	5684,33	5684,33	83627900
23 oct. 2019	5617,30	5657,65	5616,02	5653,44	5653,44	75280000
